"Exact
age (x)",Male,,,Female,,,,,,,,,,,,,,
,"Death(qx)
probability a","Number of(lx)
lives b","Life(ex)
expectancy","Death(qx)
probability a","Number of
lives b(lx)","Life(ex)
expectancy",Probability of Survival (px),Survivor's next age (lx+1),Deaths (dx),,,,,,,,,
99,0.36943,"1,126",2,0.319502,"3,240",2.3,0.63057,710.02182,416,,,,,,,,,
100,0.391927,710,1.88,0.342716,"2,205",2.14,0.608073,431.73183,278,,,,,,,,,
101,0.414726,432,1.76,0.366532,"1,449",2,0.585274,252.838368,179,,,,,,,,,
102,0.437722,253,1.66,0.390844,918,1.87,0.562278,142.256334,111,,,,,,,,,
103,0.4608,142,1.56,0.415531,559,1.75,0.5392,76.5664,65,,,,,,,,,
104,0.48384,77,1.47,0.440463,327,1.63,0.51616,39.74432,37,,,,,,,,,
105,0.508032,40,1.39,0.466891,183,1.52,0.491968,19.67872,20,,,,,,,,,
106,0.533434,19,1.31,0.494904,97,1.42,0.466566,8.864754,10,,,,,,,,,
107,0.560105,9,1.23,0.524599,49,1.32,0.439895,3.959055,5,,,,,,,,,
108,0.588111,4,1.15,0.556075,23,1.23,0.411889,1.647556,2,,,,,,,,,
109,0.617516,2,1.08,0.589439,10,1.14,0.382484,0.764968,1,,,,,,,,,
110,0.648392,1,1.01,0.624805,4,1.05,0.351608,0.351608,1,,,,,,,,,
111,0.680812,0,0.94,0.662294,2,0.97,0.319188,0,0,,,,,,,,,
112,0.714852,0,0.87,0.702031,1,0.89,0.285148,0,0,,,,,,,,,
113,0.750595,0,0.81,0.744153,0,0.82,0.249405,0,0,,,,,,,,,
114,0.788125,0,0.75,0.788125,0,0.75,0.211875,0,0,,,,,,,,,
115,0.827531,0,0.7,0.827531,0,0.7,0.172469,0,0,,,,,,,,,
116,0.868907,0,0.64,0.868907,0,0.64,0.131093,0,0,,,,,,,,,
117,0.912353,0,0.59,0.912353,0,0.59,0.087647,0,0,,,,,,,,,
118,0.95797,0,0.54,0.95797,0,0.54,0.04203,0,0,,,,,,,,,
119,1,0,0.5,1,0,0.5,0,0,0,,,,,,,,,
